sample_id,total_reads_before_filtering,total_reads_after_filtering,total_bases_before_filtering,total_bases_after_filtering,read1_mean_length_before_filtering,read1_mean_length_after_filtering,read2_mean_length_before_filtering,read2_mean_length_after_filtering,q20_bases_before_filtering,q20_bases_after_filtering,q20_rate_before_filtering,q20_rate_after_filtering,q30_bases_before_filtering,q30_bases_after_filtering,q30_rate_before_filtering,q30_rate_after_filtering,gc_content_before_filtering,gc_content_after_filtering,adapter_trimmed_reads,adapter_trimmed_bases
1_S1,149120,146844,22218880,21230337,149,144,149,144,21276019,20454070,0.957565,0.963436,21022098,20233061,0.946137,0.953026,0.379928,0.379792,1512,53804
2_S2,190260,187396,28348740,27088107,149,144,149,144,27046573,26003114,0.954066,0.959946,26693698,25694074,0.941618,0.948537,0.378792,0.37852,2032,73378
3_S3,119246,117678,17767654,17022152,149,144,149,144,17053871,16426363,0.959827,0.964999,16857081,16253041,0.948751,0.954817,0.378298,0.378132,1060,34450
4_S4,161990,158026,24136510,22849814,149,144,149,144,23025977,21997317,0.953989,0.962691,22743663,21756617,0.942293,0.952157,0.378078,0.377513,1358,47840
5_S5,86178,84812,12840522,12271227,149,144,149,144,12298790,11828855,0.957811,0.96395,12152947,11701853,0.946453,0.953601,0.378949,0.378727,652,21210
60_S60,159274,143160,23731826,20712396,149,144,149,144,21371049,19238711,0.900523,0.92885,20887505,18879812,0.880147,0.911522,0.379845,0.379019,980,30544
61_S61,68816,67374,10253584,9744660,149,144,149,144,9748570,9342358,0.950748,0.958716,9618085,9229631,0.938022,0.947148,0.380185,0.379682,544,18166
62_S62,170168,165166,25355032,23707561,149,143,149,143,24028854,22819965,0.947696,0.962561,23735147,22576600,0.936112,0.952295,0.397015,0.394339,4200,188425
63_S63,19026,18630,2834874,2686823,149,144,149,144,2712457,2591667,0.956817,0.964584,2680442,2564272,0.945524,0.954388,0.380353,0.379441,326,13343
64_S64,296190,291580,44132310,42172071,149,144,149,144,42337031,40712573,0.959321,0.965392,41851611,40291396,0.948321,0.955405,0.381554,0.38141,2468,86597
65_S65,178620,176038,26614380,25457265,149,144,149,144,25537129,24567728,0.959524,0.965058,25244282,24310595,0.94852,0.954957,0.379051,0.378851,1528,55101
66_S66,229620,225048,34213380,32561997,149,144,149,144,32553073,31225707,0.951472,0.958962,32117414,30847915,0.938738,0.947359,0.378408,0.378161,1526,50339
67_S67,279238,274620,41606462,39714980,149,144,149,144,39788707,38234444,0.956311,0.962721,39305299,37812075,0.944692,0.952086,0.379349,0.37899,2310,81987
68_S68,325918,319894,48561782,46213029,149,144,149,144,46238554,44326289,0.952159,0.959173,45626294,43794629,0.939551,0.947668,0.379914,0.379524,4072,149021
69_S69,294398,288664,43865302,41765641,149,144,149,144,41892485,40185930,0.955026,0.962177,41376452,39740339,0.943262,0.951508,0.378612,0.378391,1948,68255
6_S6,392824,386322,58530776,55873112,149,144,149,144,56096024,53899864,0.958402,0.964683,55445891,53334826,0.947295,0.954571,0.379057,0.3789,3118,115443
70_S70,490278,478780,73051422,69213382,149,144,149,144,69747822,66667169,0.954777,0.963212,68900287,65941892,0.943175,0.952733,0.381115,0.380556,4494,163792
71_S71,255690,250370,38097810,36213669,149,144,149,144,36364952,34839143,0.954516,0.962044,35915684,34452135,0.942723,0.951357,0.379425,0.379158,1982,70611
72_S72,192944,189406,28748656,27378047,149,144,149,144,27153844,26056708,0.944526,0.951737,26735701,25688605,0.929981,0.938292,0.381393,0.381023,2084,68780
73_S73,158890,156138,23674610,22569202,149,144,149,144,22682129,21768505,0.958078,0.964523,22416921,21538535,0.946876,0.954333,0.379247,0.378786,1632,59627
74_S74,79478,74442,11842222,10499636,149,140,149,141,10778571,9984601,0.910181,0.950947,10607341,9856584,0.895722,0.938755,0.480067,0.477913,4058,203727
75_S75,313450,307072,46704050,44392954,149,144,149,144,44442250,42596663,0.951572,0.959537,43860878,42092781,0.939124,0.948186,0.380145,0.379587,2708,98988
76_S76,248114,243312,36968986,35155509,149,144,149,144,35370255,33888500,0.956755,0.96396,34952657,33528076,0.945459,0.953708,0.37947,0.379046,2676,104193
77_S77,192392,189338,28666408,27379383,149,144,149,144,27413786,26351391,0.956303,0.962454,27079155,26058882,0.94463,0.95177,0.379615,0.379328,1766,61002
78_S78,141108,138682,21025092,20064676,149,144,149,144,20092746,19304920,0.955656,0.962135,19845075,19089364,0.943876,0.951392,0.378887,0.378789,1082,34913
79_S79,2368,1578,352832,170009,149,102,149,112,225649,147261,0.639537,0.866195,201528,134613,0.571173,0.791799,0.134653,0.144386,196,11553
7_S7,169150,166808,25203350,24089172,149,144,149,144,24146463,23209726,0.958066,0.963492,23857260,22957224,0.946591,0.95301,0.379883,0.379495,2316,91077
80_S80,375288,368592,55917912,53317207,149,144,149,144,53440955,51305189,0.955704,0.962263,52784732,50734387,0.943968,0.951557,0.377579,0.377446,3028,104998
81_S81,54650,53740,8142850,7779870,149,144,149,144,7785069,7485218,0.956062,0.962126,7688993,7401337,0.944263,0.951345,0.378461,0.378308,298,9329
82_S82,130,124,19370,17328,149,139,149,139,17932,16201,0.925761,0.934961,17634,15934,0.910377,0.919552,0.760041,0.759407,6,652
83_S83,732390,721700,109126110,104062183,149,144,149,144,105297139,101031487,0.964912,0.970876,104239259,100120227,0.955218,0.962119,0.408958,0.407849,14392,531865
84_S84,748970,737028,111596530,106337452,149,144,149,144,107874990,103463457,0.966652,0.972973,106854003,102590351,0.957503,0.964762,0.390821,0.389644,12944,476549
85_S85,787792,774204,117381008,111692688,149,144,149,144,113253833,108530602,0.964839,0.971689,112137218,107579616,0.955327,0.963175,0.400314,0.399081,13680,509749
86_S86,752596,740094,112136804,106732671,149,144,149,144,108231483,103726994,0.965174,0.971839,107166413,102819227,0.955676,0.963334,0.398233,0.397044,14230,525799
87_S87,788472,776326,117482328,111981583,149,144,149,144,112996894,108395098,0.96182,0.967973,111766356,107332025,0.951346,0.958479,0.422394,0.421467,14160,529255
88_S88,763068,749306,113697132,108079515,149,144,149,144,109298571,104659283,0.961313,0.968354,108103468,103642033,0.950802,0.958942,0.412124,0.4111,13612,521522
89_S89,801266,787334,119388634,113586899,149,144,149,144,114873123,110062389,0.962178,0.968971,113640379,109008428,0.951853,0.959692,0.422452,0.421498,13806,521434
8_S8,181116,178428,26986284,25811378,149,144,149,144,25858486,24880982,0.958208,0.963954,25552989,24612228,0.946888,0.953542,0.382336,0.382078,1420,47130
90_S90,770482,756466,114801818,109123537,149,144,149,144,110417804,105724029,0.961812,0.968847,109245891,104716925,0.951604,0.959618,0.398298,0.396768,13832,501626
91_S91,801212,786930,119380588,113592478,149,144,149,144,114935130,110154840,0.962762,0.969737,113735861,109132083,0.952717,0.960733,0.411195,0.410031,12820,463724
92_S92,858514,841824,127918586,121444664,149,144,149,144,123274847,117950090,0.963698,0.971225,122037142,116902960,0.954022,0.962603,0.3967,0.395305,14864,556896
93_S93,798182,786858,118929118,113554171,149,144,149,144,114650083,110105101,0.96402,0.969626,113458756,109077880,0.954003,0.96058,0.394249,0.393323,13758,497213
94_S94,717180,706970,106859820,101987880,149,144,149,144,103183645,99049798,0.965598,0.971192,102160199,98167130,0.956021,0.962537,0.401749,0.400777,13056,485297
95_S95,881560,871362,131352440,125655702,149,144,149,144,127410726,122521450,0.969991,0.975057,126284375,121551898,0.961416,0.967341,0.376568,0.375864,16082,612888
96_S96,7850,6078,1169650,505803,149,80,149,85,861626,451718,0.736653,0.893071,810758,427687,0.693163,0.84556,0.313579,0.248472,3230,317271
9_S9,60476,58514,9010924,8424152,149,143,149,143,8398510,7947861,0.932036,0.943461,8247730,7819759,0.915303,0.928255,0.381263,0.380316,1492,55755
Undetermined_S0,864330,738168,128785170,106331626,149,143,149,144,115303668,101524376,0.895318,0.95479,112920564,100182016,0.876813,0.942166,0.416529,0.438566,7380,329208
